,index,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Libelle noeud amont,Libelle noeud aval,date,weekday,weekofyear,month,year,time,tmin,tmax,mean_taux_occupation_past_week,taux_occupation_past_week,mean_debit_horaire_past_week,debit_horaire_past_week,taux_occupation_sae,confin_0,confin_1,confin_2,couvrefeu,ferie
0,7515,2019-11-14 04:00:00+01:00,156.0,0.95,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,04:00:00,4.6,6.5,11.11229267857143,0.7861100000000001,601.827380952381,102.0,15.2,1,0,0,0,0
1,7516,2019-11-14 05:00:00+01:00,121.0,0.63056,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,05:00:00,4.6,6.5,11.107454702380954,0.65778,600.9047619047619,99.0,15.2,1,0,0,0,0
2,1485,2019-11-14 06:00:00+01:00,184.0,0.9116700000000001,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,06:00:00,4.6,6.5,11.106234464285716,0.855,600.7261904761905,133.0,15.2,1,0,0,0,0
3,1486,2019-11-14 07:00:00+01:00,312.0,2.17833,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,07:00:00,4.6,6.5,11.113377321428574,2.17611,601.3452380952381,313.0,15.2,1,0,0,0,0
4,7517,2019-11-14 08:00:00+01:00,604.0,13.91167,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,08:00:00,4.6,6.5,11.16321529761905,9.352780000000001,604.1309523809524,663.0,15.2,1,0,0,0,0
5,1487,2019-11-14 09:00:00+01:00,855.0,21.21278,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,09:00:00,4.6,6.5,11.379941428571431,48.134440000000005,607.2916666666666,803.0,15.2,1,0,0,0,0
6,1488,2019-11-14 10:00:00+01:00,714.0,50.93889,Bloqué,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,10:00:00,4.6,6.5,11.649736428571432,22.16556,608.1488095238095,791.0,15.2,1,0,0,0,0
7,1489,2019-11-14 11:00:00+01:00,848.0,17.51889,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,11:00:00,4.6,6.5,11.712669642857145,43.553340000000006,608.2142857142857,668.0,15.2,1,0,0,0,0
8,7518,2019-11-14 12:00:00+01:00,883.0,14.297220000000001,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,12:00:00,4.6,6.5,11.709247023809526,8.28555,608.2083333333334,851.0,15.2,1,0,0,0,0
9,1490,2019-11-14 13:00:00+01:00,820.0,20.12167,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,13:00:00,4.6,6.5,11.585523452380954,16.955560000000002,608.1964285714286,905.0,15.2,1,0,0,0,0
10,1491,2019-11-14 14:00:00+01:00,1115.0,17.406670000000002,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,14:00:00,4.6,6.5,11.583129285714287,20.47889,608.077380952381,886.0,15.2,1,0,0,0,0
11,7519,2019-11-14 15:00:00+01:00,1005.0,21.95167,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,15:00:00,4.6,6.5,11.65679660714286,25.955560000000002,608.5892857142857,889.0,15.2,1,0,0,0,0
12,7520,2019-11-14 16:00:00+01:00,1015.0,15.323889999999999,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,16:00:00,4.6,6.5,11.616644523809528,23.15945,608.7321428571429,896.0,15.2,1,0,0,0,0
13,7521,2019-11-14 17:00:00+01:00,946.0,46.51056,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,17:00:00,4.6,6.5,11.758565833333337,25.44556,609.75,1012.0,15.2,1,0,0,0,0
14,1492,2019-11-14 18:00:00+01:00,872.0,53.63445,Bloqué,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,18:00:00,4.6,6.5,11.982557261904766,50.55389,610.25,791.0,15.2,1,0,0,0,0
15,7522,2019-11-14 19:00:00+01:00,917.0,51.83333,Bloqué,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,19:00:00,4.6,6.5,12.094481904761908,39.87222,610.6964285714286,1059.0,15.2,1,0,0,0,0
16,1493,2019-11-14 20:00:00+01:00,1067.0,37.236670000000004,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,20:00:00,4.6,6.5,12.301072559523814,38.04333,611.327380952381,902.0,15.2,1,0,0,0,0
17,1494,2019-11-14 21:00:00+01:00,1013.0,24.39945,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,21:00:00,4.6,6.5,12.354875476190479,16.98389,613.2916666666666,923.0,15.2,1,0,0,0,0
18,1495,2019-11-14 22:00:00+01:00,788.0,5.20833,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,22:00:00,4.6,6.5,12.369941607142861,6.075,615.1428571428571,672.0,15.2,1,0,0,0,0
19,7523,2019-11-14 23:00:00+01:00,705.0,4.58611,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-14,3,46,11,2019,23:00:00,4.6,6.5,12.37330803571429,3.4422300000000003,615.875,532.0,15.2,1,0,0,0,0
20,1496,2019-11-15 00:00:00+01:00,600.0,3.7827800000000003,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,00:00:00,0.6,5.0,12.371846369047624,3.3227800000000003,616.5833333333334,531.0,15.2,1,0,0,0,0
21,7524,2019-11-15 01:00:00+01:00,469.0,2.88389,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,01:00:00,0.6,5.0,12.374452202380956,2.11278,617.2738095238095,351.0,15.2,1,0,0,0,0
22,7525,2019-11-15 02:00:00+01:00,284.0,1.56444,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,02:00:00,0.6,5.0,12.3757518452381,1.89,617.5416666666666,298.0,15.2,1,0,0,0,0
23,7526,2019-11-15 03:00:00+01:00,202.0,1.17556,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,03:00:00,0.6,5.0,12.377524345238097,1.01278,617.9940476190476,189.0,15.2,1,0,0,0,0
24,7527,2019-11-15 04:00:00+01:00,138.0,0.715,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,04:00:00,0.6,5.0,12.380884166666672,0.96167,618.3988095238095,158.0,15.2,1,0,0,0,0
25,7528,2019-11-15 05:00:00+01:00,144.0,0.7861100000000001,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,05:00:00,0.6,5.0,12.380963571428575,0.59778,618.6369047619048,117.0,15.2,1,0,0,0,0
26,7529,2019-11-15 06:00:00+01:00,197.0,1.03944,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,06:00:00,0.6,5.0,12.381962202380954,1.15167,619.0416666666666,210.0,15.2,1,0,0,0,0
27,7530,2019-11-15 07:00:00+01:00,315.0,2.28167,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,07:00:00,0.6,5.0,12.384062023809525,2.34056,619.5119047619048,320.0,15.2,1,0,0,0,0
28,1497,2019-11-15 08:00:00+01:00,663.0,6.14945,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,08:00:00,0.6,5.0,12.385851011904762,10.23,620.0416666666666,728.0,15.2,1,0,0,0,0
29,7531,2019-11-15 09:00:00+01:00,850.0,42.035,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,09:00:00,0.6,5.0,12.385768333333337,39.068329999999996,620.2619047619048,886.0,15.2,1,0,0,0,0
30,1498,2019-11-15 10:00:00+01:00,858.0,16.947779999999998,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,10:00:00,0.6,5.0,12.377345714285717,49.645,621.2559523809524,715.0,15.2,1,0,0,0,0
31,1499,2019-11-15 11:00:00+01:00,767.0,31.721109999999996,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,11:00:00,0.6,5.0,12.385560000000003,25.83834,622.577380952381,846.0,15.2,1,0,0,0,0
32,7532,2019-11-15 12:00:00+01:00,842.0,30.02389,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,12:00:00,0.6,5.0,12.38421410714286,16.421670000000002,623.0297619047619,852.0,15.2,1,0,0,0,0
33,1500,2019-11-15 13:00:00+01:00,918.0,10.22667,Fluide,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,13:00:00,0.6,5.0,12.363625476190478,9.51222,623.0238095238095,884.0,15.2,1,0,0,0,0
34,7533,2019-11-15 14:00:00+01:00,947.0,25.544439999999998,Pré-saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,14:00:00,0.6,5.0,12.376065952380955,8.63389,624.3690476190476,951.0,15.2,1,0,0,0,0
35,7534,2019-11-15 15:00:00+01:00,905.0,40.16556,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,15:00:00,0.6,5.0,12.372570595238098,21.92611,624.3035714285714,1005.0,15.2,1,0,0,0,0
36,7535,2019-11-15 16:00:00+01:00,886.0,37.50222,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,16:00:00,0.6,5.0,12.349680416666668,22.77167,623.6666666666666,937.0,15.2,1,0,0,0,0
37,1501,2019-11-15 17:00:00+01:00,840.0,44.15667,Saturé,Lecourbe-Convention,Convention-Blomet,2019-11-15,4,46,11,2019,17:00:00,0.6,5.0,12.358301428571432,31.753890000000002,624.3571428571429,1036.0,15.2,1,0,0,0,0
