,date,taux_occupation_sae
0,2020-03-18,15.2
1,2020-03-19,19.8
2,2020-03-20,25.6
3,2020-03-21,28.7
4,2020-03-22,33.1
5,2020-03-23,41.1
6,2020-03-24,49.5
7,2020-03-25,58.0
8,2020-03-26,66.3
9,2020-03-27,74.3
10,2020-03-28,83.7
11,2020-03-29,90.8
12,2020-03-30,100.0
13,2020-03-31,108.7
14,2020-04-01,117.4
15,2020-04-02,124.7
16,2020-04-03,129.6
17,2020-04-04,132.9
18,2020-04-05,135.6
19,2020-04-06,137.4
20,2020-04-07,138.5
21,2020-04-08,138.8
22,2020-04-09,137.1
23,2020-04-10,135.9
24,2020-04-11,133.5
25,2020-04-12,132.7
26,2020-04-13,132.3
27,2020-04-14,130.5
28,2020-04-15,125.2
29,2020-04-16,121.4
30,2020-04-17,117.1
31,2020-04-18,113.3
32,2020-04-19,111.6
33,2020-04-20,110.4
34,2020-04-21,105.5
35,2020-04-22,101.4
36,2020-04-23,98.2
37,2020-04-24,94.6
38,2020-04-25,91.8
39,2020-04-26,90.9
40,2020-04-27,89.5
41,2020-04-28,86.8
42,2020-04-29,81.6
43,2020-04-30,78.0
44,2020-05-01,75.5
45,2020-05-02,74.5
46,2020-05-03,74.4
47,2020-05-04,71.9
48,2020-05-05,66.7
49,2020-05-06,61.2
50,2020-05-07,57.6
51,2020-05-08,55.8
52,2020-05-09,54.6
53,2020-05-10,53.9
54,2020-05-11,52.7
55,2020-05-12,49.3
56,2020-05-13,47.2
57,2020-05-14,44.6
58,2020-05-15,42.7
59,2020-05-16,41.3
60,2020-05-17,40.5
61,2020-05-18,38.7
62,2020-05-19,36.7
63,2020-05-20,34.7
64,2020-05-21,33.8
65,2020-05-22,32.9
66,2020-05-23,32.2
67,2020-05-24,32.0
68,2020-05-25,31.1
69,2020-05-26,30.0
70,2020-05-27,29.0
71,2020-05-28,27.6
72,2020-05-29,26.3
73,2020-05-30,25.6
74,2020-05-31,25.4
75,2020-06-01,25.1
76,2020-06-02,24.1
77,2020-06-03,23.3
78,2020-06-04,22.4
79,2020-06-05,21.1
80,2020-06-06,20.4
81,2020-06-07,20.2
82,2020-06-08,19.7
83,2020-06-09,18.3
84,2020-06-10,17.9
85,2020-06-11,17.3
86,2020-06-12,16.8
87,2020-06-13,16.7
88,2020-06-14,16.6
89,2020-06-15,16.2
90,2020-06-16,15.7
91,2020-06-17,14.7
92,2020-06-18,14.3
93,2020-06-19,13.8
94,2020-06-20,13.6
95,2020-06-21,13.6
96,2020-06-22,13.3
97,2020-06-23,12.9
98,2020-06-24,12.5
99,2020-06-25,12.3
100,2020-06-26,12.0
101,2020-06-27,11.7
102,2020-06-28,11.7
103,2020-06-29,11.7
104,2020-06-30,11.3
105,2020-07-01,11.0
106,2020-07-02,10.8
107,2020-07-03,10.5
108,2020-07-04,10.2
109,2020-07-05,10.3
110,2020-07-06,10.3
111,2020-07-07,10.1
112,2020-07-08,9.9
113,2020-07-09,9.6
114,2020-07-10,9.3
115,2020-07-11,9.3
116,2020-07-12,9.4
117,2020-07-13,9.2
118,2020-07-14,9.2
119,2020-07-15,9.0
120,2020-07-16,9.0
121,2020-07-17,8.9
122,2020-07-18,8.9
123,2020-07-19,8.9
124,2020-07-20,8.7
125,2020-07-21,8.5
126,2020-07-22,8.3
127,2020-07-23,8.1
128,2020-07-24,7.6
129,2020-07-25,7.3
130,2020-07-26,7.3
131,2020-07-27,7.4
132,2020-07-28,7.1
133,2020-07-29,7.0
134,2020-07-30,7.1
135,2020-07-31,6.9
136,2020-08-01,6.8
137,2020-08-02,6.8
138,2020-08-03,7.1
139,2020-08-04,7.2
140,2020-08-05,7.1
141,2020-08-06,7.2
142,2020-08-07,7.1
143,2020-08-08,7.2
144,2020-08-09,7.3
145,2020-08-10,7.4
146,2020-08-11,7.3
147,2020-08-12,7.0
148,2020-08-13,6.9
149,2020-08-14,6.8
150,2020-08-15,7.0
151,2020-08-16,7.0
152,2020-08-17,7.1
153,2020-08-18,7.1
154,2020-08-19,7.2
155,2020-08-20,7.3
156,2020-08-21,7.3
157,2020-08-22,7.3
158,2020-08-23,7.3
159,2020-08-24,7.7
160,2020-08-25,7.9
161,2020-08-26,7.4
162,2020-08-27,7.4
163,2020-08-28,7.5
164,2020-08-29,7.8
165,2020-08-30,7.8
166,2020-08-31,8.0
167,2020-09-01,8.3
168,2020-09-02,8.7
169,2020-09-03,9.1
170,2020-09-04,9.2
171,2020-09-05,9.4
172,2020-09-06,9.5
173,2020-09-07,10.5
174,2020-09-08,11.2
175,2020-09-09,11.7
176,2020-09-10,12.0
177,2020-09-11,12.4
178,2020-09-12,12.9
179,2020-09-13,13.1
180,2020-09-14,13.9
181,2020-09-15,14.9
182,2020-09-16,15.7
183,2020-09-17,15.7
184,2020-09-18,16.2
185,2020-09-19,16.4
186,2020-09-20,16.5
187,2020-09-21,18.0
188,2020-09-22,18.7
189,2020-09-23,19.7
190,2020-09-24,20.6
191,2020-09-25,21.6
192,2020-09-26,21.8
193,2020-09-27,22.0
194,2020-09-28,22.9
195,2020-09-29,23.7
196,2020-09-30,24.4
197,2020-10-01,24.9
198,2020-10-02,25.1
199,2020-10-03,25.5
200,2020-10-04,26.4
201,2020-10-05,27.9
202,2020-10-06,28.0
203,2020-10-07,27.8
204,2020-10-08,28.0
205,2020-10-09,28.4
206,2020-10-10,28.8
207,2020-10-11,29.3
208,2020-10-12,30.4
209,2020-10-13,32.3
210,2020-10-14,32.9
211,2020-10-15,34.4
212,2020-10-16,35.4
213,2020-10-17,36.9
214,2020-10-18,38.3
215,2020-10-19,41.3
216,2020-10-20,42.9
217,2020-10-21,44.3
218,2020-10-22,45.7
219,2020-10-23,48.1
220,2020-10-24,49.2
221,2020-10-25,50.9
222,2020-10-26,54.6
223,2020-10-27,57.5
224,2020-10-28,60.0
225,2020-10-29,62.2
226,2020-10-30,66.6
227,2020-10-31,68.1
228,2020-11-01,70.6
229,2020-11-02,73.6
230,2020-11-03,76.5
231,2020-11-04,80.7
232,2020-11-05,83.5
233,2020-11-06,85.4
234,2020-11-07,87.2
235,2020-11-08,89.5
236,2020-11-09,92.5
237,2020-11-10,93.6
238,2020-11-11,94.7
239,2020-11-12,96.6
240,2020-11-13,96.6
241,2020-11-14,96.0
242,2020-11-15,96.5
243,2020-11-16,96.9
244,2020-11-17,95.7
245,2020-11-18,94.1
246,2020-11-19,91.7
247,2020-11-20,90.3
248,2020-11-21,88.8
249,2020-11-22,88.8
250,2020-11-23,87.7
251,2020-11-24,84.6
252,2020-11-25,81.8
253,2020-11-26,79.2
254,2020-11-27,76.5
255,2020-11-28,74.4
256,2020-11-29,74.0
257,2020-11-30,73.9
258,2020-12-01,71.1
259,2020-12-02,68.8
260,2020-12-03,67.5
261,2020-12-04,64.9
262,2020-12-05,63.7
263,2020-12-06,63.5
264,2020-12-07,63.0
265,2020-12-08,60.9
266,2020-12-09,59.9
267,2020-12-10,58.3
