,index,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Libelle noeud amont,Libelle noeud aval,date,weekday,weekofyear,month,year,time,tmin,tmax,mean_taux_occupation_past_week,taux_occupation_past_week,mean_debit_horaire_past_week,debit_horaire_past_week,taux_occupation_sae,confin_0,confin_1,confin_2,couvrefeu,ferie
0,152,2019-11-14 04:00:00+01:00,56.0,0.71,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,04:00:00,4.6,6.5,6.738495357142857,0.9133399999999999,475.3184523809524,74.0,15.2,1,0,0,0,0
1,5008,2019-11-14 05:00:00+01:00,68.0,0.88833,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,05:00:00,4.6,6.5,6.730360416666667,1.06556,474.6577380952381,83.0,15.2,1,0,0,0,0
2,153,2019-11-14 06:00:00+01:00,99.0,1.22,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,06:00:00,4.6,6.5,6.728892202380952,1.39889,474.61607142857144,116.0,15.2,1,0,0,0,0
3,154,2019-11-14 07:00:00+01:00,254.0,3.2827800000000003,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,07:00:00,4.6,6.5,6.735172023809524,2.89055,475.11607142857144,251.0,15.2,1,0,0,0,0
4,5009,2019-11-14 08:00:00+01:00,471.0,6.35944,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,08:00:00,4.6,6.5,6.755334047619049,5.893330000000001,476.7470238095238,478.0,15.2,1,0,0,0,0
5,5010,2019-11-14 09:00:00+01:00,817.0,11.38667,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,09:00:00,4.6,6.5,6.792099880952381,9.96833,479.61011904761904,742.0,15.2,1,0,0,0,0
6,155,2019-11-14 10:00:00+01:00,726.0,13.22611,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,10:00:00,4.6,6.5,6.833670595238095,10.446110000000001,481.9136904761905,760.0,15.2,1,0,0,0,0
7,5011,2019-11-14 11:00:00+01:00,761.0,14.62445,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,11:00:00,4.6,6.5,6.854140178571428,11.15167,483.0565476190476,749.0,15.2,1,0,0,0,0
8,156,2019-11-14 12:00:00+01:00,725.0,13.70611,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,12:00:00,4.6,6.5,6.895747261904761,9.63667,484.6279761904762,712.0,15.2,1,0,0,0,0
9,157,2019-11-14 13:00:00+01:00,772.0,14.47556,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,13:00:00,4.6,6.5,6.937010535714284,16.63889,485.8482142857143,776.0,15.2,1,0,0,0,0
10,158,2019-11-14 14:00:00+01:00,757.0,14.20667,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,14:00:00,4.6,6.5,6.966207023809522,12.03445,487.54464285714283,803.0,15.2,1,0,0,0,0
11,5012,2019-11-14 15:00:00+01:00,775.0,13.777779999999998,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,15:00:00,4.6,6.5,6.99189488095238,11.606110000000001,489.00892857142856,737.0,15.2,1,0,0,0,0
12,5013,2019-11-14 16:00:00+01:00,901.0,30.44445,Saturé,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,16:00:00,4.6,6.5,7.024652797619046,12.32611,490.5208333333333,856.0,15.2,1,0,0,0,0
13,159,2019-11-14 17:00:00+01:00,839.0,28.21722,Pré-saturé,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,17:00:00,4.6,6.5,7.045578690476189,17.44667,491.88392857142856,833.0,15.2,1,0,0,0,0
14,160,2019-11-14 18:00:00+01:00,905.0,16.67833,Pré-saturé,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,18:00:00,4.6,6.5,7.0664847619047615,12.305,493.23511904761904,850.0,15.2,1,0,0,0,0
15,161,2019-11-14 19:00:00+01:00,1027.0,15.157779999999999,Pré-saturé,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,19:00:00,4.6,6.5,7.099189761904761,11.73445,494.8779761904762,946.0,15.2,1,0,0,0,0
16,162,2019-11-14 20:00:00+01:00,948.0,12.86778,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,20:00:00,4.6,6.5,7.113825952380951,13.01834,496.38988095238096,975.0,15.2,1,0,0,0,0
17,163,2019-11-14 21:00:00+01:00,812.0,10.131110000000001,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,21:00:00,4.6,6.5,7.133303452380951,10.72445,497.6220238095238,868.0,15.2,1,0,0,0,0
18,5014,2019-11-14 22:00:00+01:00,530.0,6.617780000000001,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,22:00:00,4.6,6.5,7.1401949999999985,7.84778,498.25892857142856,632.0,15.2,1,0,0,0,0
19,5015,2019-11-14 23:00:00+01:00,536.0,6.53111,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-14,3,46,11,2019,23:00:00,4.6,6.5,7.164933749999999,6.21945,498.8065476190476,553.0,15.2,1,0,0,0,0
20,5016,2019-11-15 00:00:00+01:00,586.0,6.742780000000001,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,00:00:00,0.6,5.0,7.170486011904761,7.468889999999999,499.29464285714283,655.0,15.2,1,0,0,0,0
21,164,2019-11-15 01:00:00+01:00,485.0,5.74833,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,01:00:00,0.6,5.0,7.18385244047619,6.38667,500.1815476190476,531.0,15.2,1,0,0,0,0
22,5017,2019-11-15 02:00:00+01:00,292.0,3.23,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,02:00:00,0.6,5.0,7.194808154761903,3.8022199999999997,500.8482142857143,337.0,15.2,1,0,0,0,0
23,5018,2019-11-15 03:00:00+01:00,163.0,1.79833,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,03:00:00,0.6,5.0,7.200710952380952,2.15556,501.36011904761904,184.0,15.2,1,0,0,0,0
24,5019,2019-11-15 04:00:00+01:00,93.0,1.15667,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,04:00:00,0.6,5.0,7.205568749999999,1.25111,501.7827380952381,108.0,15.2,1,0,0,0,0
25,5020,2019-11-15 05:00:00+01:00,85.0,1.07334,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,05:00:00,0.6,5.0,7.20773476190476,1.14111,501.98511904761904,86.0,15.2,1,0,0,0,0
26,5021,2019-11-15 06:00:00+01:00,137.0,1.65278,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,06:00:00,0.6,5.0,7.210165357142855,1.80445,502.2232142857143,156.0,15.2,1,0,0,0,0
27,165,2019-11-15 07:00:00+01:00,210.0,2.69445,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,07:00:00,0.6,5.0,7.214831369047617,3.14445,502.6279761904762,254.0,15.2,1,0,0,0,0
28,5022,2019-11-15 08:00:00+01:00,445.0,7.75944,Fluide,Sts_Peres-Voltaire,Sts_Peres-Universite,2019-11-15,4,46,11,2019,08:00:00,0.6,5.0,7.218554880952378,6.302219999999999,502.9791666666667,499.0,15.2,1,0,0,0,0
