,name,features,target,street,mse_tot,mse_first,min_samples_leaf,path
30,2020-12-10 15_22_32,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,31.161199509632926,23.587455043703976,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_32
31,2020-12-10 15_22_33,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,31.264196616435886,24.161113070460633,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_33
34,2020-12-10 15_22_39,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,convention,31.48476417011447,24.666667745733882,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_39
41,2020-12-10 15_22_50,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,convention,32.038027770877505,24.944463496334514,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_50
38,2020-12-10 15_22_45,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,32.123648288345734,25.374467195850148,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_45
24,2020-12-10 15_22_21,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,32.15168881584514,24.755057211780784,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_21
37,2020-12-10 15_22_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,32.24420239014246,25.123637766391514,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_44
10,2020-12-10 15_21_55,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,32.40619187095974,24.771244327955017,6,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_21_55
27,2020-12-10 15_22_26,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tmin', 'tmax', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae']",Taux d'occupation,convention,32.45243659680865,23.93647046895427,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_26
23,2020-12-10 15_22_19,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",Taux d'occupation,convention,32.51494911778259,24.318718299813458,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Taux d'occupation/2020-12-10 15_22_19
