,name,features,mse_tot,mse_first,kernel,degree,inv_generalization,path
41,2020-12-09 03_08_45,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",43.09157240672058,36.37252684711042,rbf,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_08_45
17,2020-12-09 03_04_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",43.09157240672058,36.37252684711042,rbf,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_04_44
65,2020-12-09 03_12_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",43.09157240672058,36.37252684711042,rbf,4,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_12_44
89,2020-12-09 03_16_39,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",43.09157240672058,36.37252684711042,rbf,5,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_16_39
317,2020-12-09 04_50_54,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",45.08913390434144,65.2475173765219,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_50_54
293,2020-12-09 04_35_07,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",45.08913390434144,65.2475173765219,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_35_07
305,2020-12-09 04_42_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",45.08973607203577,65.25072808272378,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_42_36
329,2020-12-09 04_58_19,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",45.08973607203577,65.25072808272378,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_58_19
318,2020-12-09 04_51_17,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",45.89393686926827,64.89760507921503,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_51_17
294,2020-12-09 04_35_31,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",45.89393686926827,64.89760507921503,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_35_31
330,2020-12-09 04_58_59,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",45.89424183810624,64.89558424802019,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_58_59
306,2020-12-09 04_43_15,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'retail_and_recreation_percent_change_from_baseline']",45.89424183810624,64.89558424802019,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_43_15
77,2020-12-09 03_14_44,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",46.297831445154934,36.34658491662874,rbf,5,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_14_44
5,2020-12-09 03_02_46,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",46.297831445154934,36.34658491662874,rbf,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_02_46
53,2020-12-09 03_10_49,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",46.297831445154934,36.34658491662874,rbf,4,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_10_49
29,2020-12-09 03_06_48,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",46.297831445154934,36.34658491662874,rbf,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_06_48
300,2020-12-09 04_38_42,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63204818225425,66.51313618761868,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_38_42
324,2020-12-09 04_54_23,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63204818225425,66.51313618761868,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_54_23
288,2020-12-09 04_32_48,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63369465737769,66.50735522858074,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_32_48
312,2020-12-09 04_48_40,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week']",51.63369465737769,66.50735522858074,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_48_40
319,2020-12-09 04_51_47,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.74535464076203,64.7978383793274,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_51_47
295,2020-12-09 04_36_02,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.74535464076203,64.7978383793274,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_36_02
307,2020-12-09 04_44_11,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",51.76907983454304,64.8078413048982,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_44_11
