,date,retail_and_recreation_percent_change_from_baseline
0,2020-02-15,96.0
1,2020-02-16,98.0
2,2020-02-17,96.0
3,2020-02-18,100.0
4,2020-02-19,96.0
5,2020-02-20,95.0
6,2020-02-21,102.0
7,2020-02-22,101.0
8,2020-02-23,104.0
9,2020-02-24,103.0
10,2020-02-25,100.0
11,2020-02-26,100.0
12,2020-02-27,99.0
13,2020-02-28,104.0
14,2020-02-29,98.0
15,2020-03-01,85.0
16,2020-03-02,90.0
17,2020-03-03,93.0
18,2020-03-04,88.0
19,2020-03-05,86.0
20,2020-03-06,94.0
21,2020-03-07,91.0
22,2020-03-08,84.0
23,2020-03-09,88.0
24,2020-03-10,85.0
25,2020-03-11,86.0
26,2020-03-12,82.0
27,2020-03-13,78.0
28,2020-03-14,62.0
29,2020-03-15,31.0
30,2020-03-16,27.0
31,2020-03-17,12.0
32,2020-03-18,8.0
33,2020-03-19,7.0
34,2020-03-20,7.0
35,2020-03-21,5.0
36,2020-03-22,5.0
37,2020-03-23,7.0
38,2020-03-24,7.0
39,2020-03-25,6.0
40,2020-03-26,6.0
41,2020-03-27,6.0
42,2020-03-28,5.0
43,2020-03-29,4.0
44,2020-03-30,6.0
45,2020-03-31,4.0
46,2020-04-01,4.0
47,2020-04-02,4.0
48,2020-04-03,5.0
49,2020-04-04,5.0
50,2020-04-05,5.0
51,2020-04-06,5.0
52,2020-04-07,6.0
53,2020-04-08,6.0
54,2020-04-09,6.0
55,2020-04-10,6.0
56,2020-04-11,5.0
57,2020-04-12,5.0
58,2020-04-13,5.0
59,2020-04-14,7.0
60,2020-04-15,7.0
61,2020-04-16,6.0
62,2020-04-17,7.0
63,2020-04-18,6.0
64,2020-04-19,6.0
65,2020-04-20,7.0
66,2020-04-21,7.0
67,2020-04-22,7.0
68,2020-04-23,7.0
69,2020-04-24,7.0
70,2020-04-25,6.0
71,2020-04-26,7.0
72,2020-04-27,8.0
73,2020-04-28,8.0
74,2020-04-29,7.0
75,2020-04-30,8.0
76,2020-05-01,5.0
77,2020-05-02,8.0
78,2020-05-03,7.0
79,2020-05-04,10.0
80,2020-05-05,9.0
81,2020-05-06,11.0
82,2020-05-07,11.0
83,2020-05-08,8.0
84,2020-05-09,9.0
85,2020-05-10,9.0
86,2020-05-11,22.0
87,2020-05-12,22.0
88,2020-05-13,22.0
89,2020-05-14,23.0
90,2020-05-15,24.0
91,2020-05-16,25.0
92,2020-05-17,23.0
93,2020-05-18,28.0
94,2020-05-19,28.0
95,2020-05-20,31.0
96,2020-05-21,25.0
97,2020-05-22,28.0
98,2020-05-23,28.0
99,2020-05-24,26.0
100,2020-05-25,33.0
101,2020-05-26,33.0
102,2020-05-27,33.0
103,2020-05-28,32.0
104,2020-05-29,33.0
105,2020-05-30,35.0
106,2020-05-31,32.0
107,2020-06-01,34.0
108,2020-06-02,45.0
109,2020-06-03,43.0
110,2020-06-04,36.0
111,2020-06-05,38.0
112,2020-06-06,44.0
113,2020-06-07,39.0
114,2020-06-08,43.0
115,2020-06-09,45.0
116,2020-06-10,45.0
117,2020-06-11,45.0
118,2020-06-12,43.0
119,2020-06-13,50.0
120,2020-06-14,45.0
121,2020-06-15,52.0
122,2020-06-16,55.0
123,2020-06-17,53.0
124,2020-06-18,55.0
125,2020-06-19,55.0
126,2020-06-20,56.0
127,2020-06-21,59.0
128,2020-06-22,61.0
129,2020-06-23,63.0
130,2020-06-24,61.0
131,2020-06-25,58.0
132,2020-06-26,59.0
133,2020-06-27,57.0
134,2020-06-28,60.0
135,2020-06-29,64.0
136,2020-06-30,66.0
137,2020-07-01,63.0
138,2020-07-02,64.0
139,2020-07-03,65.0
140,2020-07-04,61.0
141,2020-07-05,62.0
142,2020-07-06,67.0
143,2020-07-07,70.0
144,2020-07-08,68.0
145,2020-07-09,65.0
146,2020-07-10,60.0
147,2020-07-11,56.0
148,2020-07-12,59.0
149,2020-07-13,66.0
150,2020-07-14,45.0
151,2020-07-15,61.0
152,2020-07-16,62.0
153,2020-07-17,62.0
154,2020-07-18,60.0
155,2020-07-19,63.0
